feature,importance,std
exp_weighted_churn,0.6375314891298108,0.028567798073752523
active_contributors,0.09349069947363901,0.014377485310657042
log_active_contributors,0.055698453066846475,0.010413700615655021
release_regularity,0.0373483909758273,0.006692445223653913
contributor_productivity,0.013005231844014342,0.002929049581841661
effort_distribution,0.006772232767199016,0.002374047815186244
pr_per_contributor,0.006281326669658849,0.002637771557356276
weighted_experience,0.004639850615697438,0.004024830612024845
bus_factor_ratio,0.00432295946091249,0.0012926683984585089
stars,0.003849959394451474,0.00140297954574177
log_stars,0.003755847036410398,0.0009248183790463883
log_code_churn_normalized,0.003567122991616001,0.0006908821277480746
pr_merge_time_median_h,0.0029552150214711137,0.001203467019829839
log_pr_merge_time_median_h,0.002940178531457627,0.0010744110886425128
log_pr_count_merged,0.0023228640150911527,0.0012978277700267592
commit_velocity_trend,0.001521797881781639,0.002099431504359635
pr_count_merged,0.0011861901879681614,0.0006027189484741053
ci_success_rate,0.0010554924492884644,0.00047603092828558117
issues_resolution_time_h,0.0008285329339311253,0.0004304549459020424
log_dependency_count,0.0006839511619647909,0.0006562083396200657
code_churn_normalized,0.0005404236102772742,0.0008541322241673066
dependency_count,0.0005394278309808209,0.00044097507674283916
log_issues_resolution_time_h,0.0004964396977789276,0.0004151926384779807
review_effort_proxy,0.0004947005854583963,0.0005614654132109478
ci_failure_rate,0.0004562444803214771,0.0006310638700594098
days_inactive,0.0002285460723504107,0.00022388777144205006
review_cycle_count,9.98594597092839e-05,4.263982321290759e-05
process_maturity,5.170385764521335e-05,6.73363677842569e-05
has_ci,0.0,0.0
has_tests,0.0,0.0
weekend_commit_ratio,-0.0001368656005706126,0.0008166682087155319
language_diversity,-0.0020676703424429175,0.0013877173367705443
